2016-Mar-20 19:08:30,EnergyPlus Completed Successfully-- 25 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 52.23sec,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wMeter.csv,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wTable.xml,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eio,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.svg,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.dxf,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.shd,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.audit,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.bnd,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eso,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtr,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.err,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.csv,
2016-Mar-20 20:15:08,EnergyPlus Completed Successfully-- 25 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 51.90sec,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wMeter.csv,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wTable.xml,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eio,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.svg,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.dxf,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.shd,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.audit,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.bnd,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eso,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtr,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.err,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.csv,
2016-Mar-20 20:22:20,EnergyPlus Completed Successfully-- 25 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 52.20sec,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wMeter.csv,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wTable.xml,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eio,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.svg,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.dxf,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.shd,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.audit,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.bnd,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eso,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtr,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.err,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.csv,
2016-Mar-20 20:24:26,EnergyPlus Completed Successfully-- 25 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 52.32sec,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wMeter.csv,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wTable.xml,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eio,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.svg,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.dxf,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.shd,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.audit,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.bnd,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eso,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtr,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.err,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.csv,
2016-Mar-20 20:26:32,EnergyPlus Completed Successfully-- 25 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 51.71sec,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wMeter.csv,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wTable.xml,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eio,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.svg,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.dxf,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.shd,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.audit,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.bnd,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eso,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtr,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.err,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.csv,
2016-Mar-20 20:42:23,EnergyPlus Completed Successfully-- 3 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 52.50sec,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wMeter.csv,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_wTable.xml,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mdd,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eio,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.svg,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.dxf,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.shd,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.audit,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.bnd,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.eso,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.mtr,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.err,C:\Users\LMH\Desktop\EnergyPlus Optimization\SmallOffice_Zone_west_w.csv,
2016-Mar-23 01:10:42,EnergyPlus Completed Successfully-- 24 Warning; 1504 Severe Errors; Elapsed Time=00hr 04min 15.43sec,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHMeter.csv,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHTable.xml,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.rdd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mdd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.eio,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.svg,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.dxf,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mtd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHZsz.csv,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.shd,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.audit,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.bnd,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.eso,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mtr,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.err,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.csv,
2016-Mar-23 01:18:16,EnergyPlus Completed Successfully-- 24 Warning; 1504 Severe Errors; Elapsed Time=00hr 04min 21.87sec,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHMeter.csv,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHTable.xml,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.rdd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mdd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.eio,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.svg,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.dxf,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mtd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHZsz.csv,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.shd,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.audit,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.bnd,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.eso,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mtr,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.err,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.csv,
2016-Mar-23 01:22:11,EnergyPlus Completed Successfully-- 24 Warning; 1504 Severe Errors; Elapsed Time=00hr 04min 21.13sec,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHMeter.csv,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHTable.xml,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.rdd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mdd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.eio,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.svg,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.dxf,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mtd,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MHZsz.csv,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.shd,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.audit,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.bnd,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.eso,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.mtr,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.err,C:\Users\LMH\Desktop\0.final_ulsan_setpoint\multi_summer_lineitem_blind2001control_MH.csv,
2016-Mar-23 14:19:52,EnergyPlus Completed Successfully-- 24 Warning; 1504 Severe Errors; Elapsed Time=00hr 00min 23.49sec,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM,,,,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JMMeter.csv,,,,,,,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JMTable.xml,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.rdd,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.mdd,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.eio,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.svg,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.dxf,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.mtd,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JMZsz.csv,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.shd,,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.audit,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.bnd,,,,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.eso,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.mtr,,,,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.err,C:\Users\LMH\Desktop\¶äºÎ±â\multi_winter_lineitem_blind2001control_JM.csv,
2016-Jul-02 21:04:43, EnergyPlus Terminated--Fatal Error Detected. 0 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  1.01sec,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\python optimization\Munlaeelementary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.audit,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.err,,
2016-Jul-02 21:06:45,EnergyPlus Completed Successfully-- 25 Warning; 1 Severe Errors; Elapsed Time=00hr 01min 34.18sec,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\python optimization\Munlaeelementary,,,,,,,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.tab,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.html,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eio,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.svg,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.dxf,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.shd,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.audit,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.bnd,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eso,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.err,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.csv,
2016-Jul-02 21:13:47,EnergyPlus Completed Successfully-- 25 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.49sec,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\python optimization\Munlaeelementary,,,,,,,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.tab,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.html,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eio,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.svg,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.dxf,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.shd,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.audit,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.bnd,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eso,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.err,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.csv,
2016-Jul-02 21:15:40,EnergyPlus Completed Successfully-- 25 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.44sec,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\python optimization\Munlaeelementary,,,,,,,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.tab,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.html,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eio,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.svg,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.dxf,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.shd,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.audit,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.bnd,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eso,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.err,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.csv,
2016-Jul-02 21:39:53,EnergyPlus Completed Successfully-- 25 Warning; 1 Severe Errors; Elapsed Time=00hr 00min 29.55sec,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.idf,C:\EnergyPlusV8-1-0\WeatherData\KOR_Inchon.471120_IWEC.epw,C:\Users\LMH\Desktop\python optimization\Munlaeelementary,,,,,,,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.tab,,C:\Users\LMH\Desktop\python optimization\MunlaeelementaryTable.html,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mdd,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eio,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.svg,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.dxf,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.mtd,,,,,,,,,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.shd,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.audit,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.bnd,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.eso,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.rvaudit,,,,,,,,,,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.err,C:\Users\LMH\Desktop\python optimization\Munlaeelementary.csv,
